company,name,year,price_no,kms_no,fuel_type
Maruti,Maruti Ignis Zeta,2019,550000,59385,Petrol
Jaguar,Jaguar XF 3.0,2012,1700000,51000,Diesel
Mahindra,Mahindra XUV500 AT,2017,990000,74000,Diesel
Tata,Tata Nexon 1.2,2020,851000,29000,Petrol
Jeep,Jeep Compass Model,2021,2750000,12200,Diesel
Hyundai,Hyundai Grand i10,2019,550000,40000,Petrol
Hyundai,Hyundai Verna CRDi,2018,951000,58000,Diesel
Toyota,Toyota Innova Crysta,2019,1989999,75000,Diesel
Land,Land Rover Discovery,2018,3550000,72000,Diesel
Ford,Ford Aspire 1.2,2017,550000,23400,Petrol
Ford,Ford Aspire 1.2,2017,390000,59300,Petrol
Hyundai,Hyundai Creta 1.4,2016,890000,72000,Diesel
Maruti,Maruti Swift Dzire,2017,451000,67000,Diesel
Honda,Honda Amaze S,2018,725000,33500,Petrol
Hyundai,Hyundai Creta SX,2021,1275000,17000,Petrol
Volkswagen,Volkswagen Ameo 1.5,2016,690000,33000,Diesel
Volkswagen,Volkswagen Polo GT,2015,675000,49000,Petrol
Hyundai,Hyundai Grand i10,2015,565000,26000,Petrol
Hyundai,Hyundai Venue SX,2020,1000000,14500,Petrol
Kia,Kia Seltos GTX,2022,1975000,10000,Diesel
MG,MG Hector Plus,2020,1700000,15001,Petrol
Skoda,Skoda Octavia Elegance,2015,975000,55000,Petrol
Toyota,Toyota Corolla Altis,2013,650000,38000,Petrol
Ford,Ford Endeavour 4x4,2005,400000,110000,Diesel
Honda,Honda Amaze S,2013,475000,65413,Petrol
Honda,Honda Jazz Mode,2009,280000,45000,Petrol
Ford,Ford Figo 1.2P,2017,430000,44000,Petrol
Hyundai,Hyundai Grand i10,2017,490000,40000,Petrol
Ford,Ford Ecosport 1.5,2016,651000,49000,Petrol
Mahindra,Mahindra Thar LX,2022,1751000,19000,Diesel
Hyundai,Hyundai i20 Magna,2013,391000,56000,Diesel
Honda,Honda City 1.5,2010,375000,65000,Petrol
Toyota,Toyota Etios G,2013,490000,27680,Petrol
Kia,Kia Seltos GTX,2021,1825000,27305,Diesel
BMW,BMW 3 Series,2019,3300000,10793,Diesel
BMW,BMW X3 xDrive,2020,5600000,12000,Diesel
MG,MG Hector Sharp,2019,1499000,44000,Petrol
Kia,Kia Seltos HTK,2020,1199000,63000,Petrol
Hyundai,Hyundai i20 Sportz,2019,650000,87000,Diesel
Maruti,Maruti Alto LXi,2010,190000,61000,Petrol
Hyundai,Hyundai i20 Sportz,2016,625000,72000,Diesel
Audi,Audi A4 2.0,2015,1651000,70000,Diesel
Nissan,Nissan Micra Diesel,2012,225000,58000,Diesel
Honda,Honda Jazz Active,2009,130000,90000,Petrol
Honda,Honda City VX,2022,1250000,19000,Petrol
Toyota,Toyota Corolla Altis,2014,925000,72159,Petrol
Ford,Ford Ecosport 1.5,2015,590000,78000,Diesel
Ford,Ford Ecosport 1.5,2018,690000,58000,Diesel
Ford,Ford Ecosport 1.5,2018,890000,72000,Diesel
Land,Land Rover Range,2018,4250000,56000,Diesel
Nissan,Nissan Micra Diesel,2012,290000,73000,Diesel
Hyundai,Hyundai Creta 1.6,2016,890000,28840,Petrol
Maruti,Maruti Swift Dzire,2019,690000,51500,Petrol
Maruti,Maruti S-Presso VXI,2020,480000,41370,Petrol
Hyundai,Hyundai Creta 1.6,2016,875000,41266,Petrol
Hyundai,Hyundai Verna VTVT,2018,990000,31740,Petrol
Maruti,Maruti Ciaz VXi,2015,615000,77876,Petrol
Skoda,Skoda Kushaq 1.5,2022,2050000,9500,Petrol
Hyundai,Hyundai Grand i10,2019,625000,28387,Petrol
Mercedes-Benz,Mercedes-Benz M-Class ML,2015,2700000,120000,Diesel
Hyundai,Hyundai Grand i10,2017,450000,20000,Petrol
Mercedes-Benz,Mercedes-Benz C-Class Progressive,2020,4250000,30686,Diesel
Tata,Tata Indica eV2,2013,100000,120000,Diesel
Mahindra,Mahindra Bolero Power,2018,600000,184000,Diesel
Honda,Honda City 1.5,2009,400000,40000,Petrol
Maruti,Maruti Ciaz Delta,2015,625000,55000,Diesel
Hyundai,Hyundai Grand i10,2019,575000,38000,Petrol
Audi,Audi Q3 30,2017,2350000,40000,Petrol
Hyundai,Hyundai Santro GS,2006,135000,60000,Petrol
Mahindra,Mahindra Bolero SLX,2009,300000,110000,Diesel
Maruti,Maruti Swift LDI,2011,210000,143000,Diesel
Tata,Tata Indica Aqua,2012,125000,110000,Diesel
Mahindra,Mahindra KUV 100,2017,475000,58000,Diesel
Honda,Honda City i,2014,550000,65000,Petrol
Tata,Tata Harrier XZ,2021,1700000,50000,Diesel
Tata,Tata Zest Revotron,2015,349000,55000,Petrol
Land,Land Rover Discovery,2021,7000000,19500,Diesel
Mahindra,Mahindra XUV500 AT,2016,925000,78000,Diesel
Honda,Honda City V,2010,390000,58000,Petrol
Mahindra,Mahindra XUV500 W10,2017,1025000,91000,Diesel
Mahindra,Mahindra XUV500 AT,2016,1125000,30000,Diesel
Maruti,Maruti Baleno 1.2,2018,725000,44153,Petrol
Mercedes-Benz,Mercedes-Benz C-Class C,2018,3450000,21000,Diesel
Kia,Kia Seltos HTX,2020,1400000,19000,Petrol
Hyundai,Hyundai Alcazar Signature,2021,1950000,27300,Diesel
Skoda,Skoda Superb Laurin,2021,3400000,31001,Petrol
Renault,Renault KWID 1.0,2017,310000,50000,Petrol
Maruti,Maruti Wagon R,2005,130000,77000,Petrol
Maruti,Maruti Swift Dzire,2018,650000,53000,Petrol
Datsun,Datsun RediGO S,2017,275000,20000,Petrol
Honda,Honda Brio S,2013,350000,72000,Petrol
Hyundai,Hyundai Creta 1.6,2016,890000,26000,Petrol
Honda,Honda Amaze S,2015,425000,66000,Diesel
Jaguar,Jaguar XF 2.2,2014,2200000,69619,Diesel
Maruti,Maruti Alto K10,2018,430000,30000,Petrol
Maruti,Maruti Wagon R,2009,211000,61000,Petrol
Renault,Renault Duster 110PS,2018,975000,31000,Diesel
Volkswagen,Volkswagen Polo GT,2015,625000,66000,Petrol
Land,Land Rover Discovery,2021,7200000,7700,Petrol
Mahindra,Mahindra XUV700 AX3,2022,1750000,9000,Petrol
Tata,Tata Tigor 1.2,2017,340000,60000,Petrol
Skoda,Skoda Fabia 1.2,2009,110000,110000,Petrol
Kia,Kia Seltos HTX,2020,1675000,51001,Diesel
Jeep,Jeep Compass 2.0,2020,2100000,56207,Diesel
Mercedes-Benz,Mercedes-Benz GLA Class,2019,2690000,58000,Diesel
Hyundai,Hyundai i20 Diesel,2018,650000,73290,Diesel
Hyundai,Hyundai Verna 1.6,2017,790000,44283,Diesel
Maruti,Maruti Celerio VXI,2016,425000,48000,Petrol
Honda,Honda City 1.5,2010,340000,107500,Petrol
Maruti,Maruti SX4 Celebration,2009,200000,90000,Petrol
Maruti,Maruti Vitara Brezza,2021,775000,10000,Petrol
Maruti,Maruti Wagon R,2011,215000,120000,Petrol
Maruti,Maruti Wagon R,2011,237000,120000,Petrol
Mahindra,Mahindra KUV 100,2018,425000,46000,Petrol
Nissan,Nissan Sunny XL,2017,575000,28000,Diesel
Honda,Honda WR-V SV,2020,825000,24000,Petrol
Honda,Honda WR-V i-VTEC,2018,690000,23000,Petrol
Honda,Honda WR-V i-VTEC,2018,775000,24300,Petrol
Honda,Honda WR-V i-VTEC,2019,790000,51000,Petrol
Kia,Kia Seltos GTX,2020,1490000,6000,Petrol
Kia,Kia Seltos GTX,2021,1725000,12600,Petrol
Jeep,Jeep Meridian Limited,2022,3700000,3500,Diesel
Hyundai,Hyundai i10 Era,2011,229999,120000,Petrol
Hyundai,Hyundai Grand i10,2022,750000,5000,Cng
Hyundai,Hyundai Santro Xing,2010,135000,120000,Petrol
Honda,Honda Jazz V,2018,695000,40000,Petrol
Honda,Honda City i-VTEC,2018,785000,96000,Petrol
Honda,Honda City 1.5,2010,325000,67000,Petrol
Honda,Honda City i-VTEC,2018,790000,72000,Petrol
Hyundai,Hyundai i10 Magna,2013,321000,89000,Petrol
Volkswagen,Volkswagen Polo Diesel,2011,330000,64000,Diesel
Maruti,Maruti Swift Vdi,2010,200000,120000,Diesel
Honda,Honda Jazz 1.2,2017,540000,42000,Petrol
Datsun,Datsun RediGO T,2017,270000,55000,Petrol
Hyundai,Hyundai Santro Era,2019,495000,30000,Petrol
Tata,Tata Hexa XTA,2017,1000000,86500,Diesel
Honda,Honda CR-V 2.4L,2014,1050000,59000,Petrol
Hyundai,Hyundai EON Era,2018,310000,15000,Petrol
Mahindra,Mahindra Scorpio S7,2019,1200000,70000,Diesel
Volkswagen,Volkswagen Polo ALLSTAR,2017,600000,50000,Petrol
Chevrolet,Chevrolet Cruze LT,2012,300000,110000,Diesel
Tata,Tata Nexon XMA,2021,925000,13700,Petrol
Maruti,Maruti Swift VXI,2019,570000,25000,Petrol
Ford,Ford Ecosport Sports,2021,1100000,20000,Diesel
Jaguar,Jaguar XF 2.2,2014,1800000,70000,Diesel
Tata,Tata Indica TDI,2013,100000,35000,Diesel
Toyota,Toyota Fortuner 4X4,2021,4350000,26629,Diesel
Mercedes-Benz,Mercedes-Benz C-Class Progressive,2019,4650000,20000,Diesel
Mercedes-Benz,Mercedes-Benz GLC Progressive,2019,5395000,33000,Diesel
BMW,BMW 3 Series,2021,6175000,25000,Petrol
Audi,Audi Q3 30,2017,2795000,55291,Diesel
Mercedes-Benz,Mercedes-Benz C-Class C,2013,1650000,58500,Diesel
Audi,Audi Q7 45,2018,7250000,15000,Diesel
Renault,Renault Duster 85PS,2014,650000,90000,Diesel
Audi,Audi Q3 35,2012,1300000,64000,Diesel
Maruti,Maruti Zen LXI,2004,400000,132596,Petrol
Maruti,Maruti Swift VXI,2008,154000,99673,Petrol
Tata,Tata Nexon EV,2021,418000,24374,Electric
Volkswagen,Volkswagen Vento Petrol,2011,392000,69828,Petrol
Maruti,Maruti Baleno 1.2,2016,594000,72820,Petrol
Mercedes-Benz,Mercedes-Benz C-Class Progressive,2019,3724000,20785,Diesel
Maruti,Maruti Swift Dzire,2016,588000,31172,Petrol
Hyundai,Hyundai Grand i10,2016,451999,24395,Petrol
MG,MG Hector Sharp,2021,1825000,11050,Petrol
Toyota,Toyota Innova 2.5,2013,774000,123394,Diesel
Maruti,Maruti Swift ZDi,2013,421000,105053,Diesel
Hyundai,Hyundai i20 Sportz,2021,844000,10283,Petrol
Tata,Tata Harrier XZ,2022,2199000,2443,Diesel
Toyota,Toyota Fortuner 2.7,2019,3100000,44000,Petrol
Audi,Audi Q5 3.0,2011,994999,68000,Diesel
Mahindra,Mahindra Ssangyong Rexton,2013,975000,72000,Diesel
Hyundai,Hyundai i10 Magna,2011,225000,38000,Petrol
Maruti,Maruti Swift Dzire,2019,650000,65000,Petrol
Audi,Audi Q7 45,2014,1875000,43000,Diesel
Hyundai,Hyundai i10 Sportz,2014,425000,52000,Petrol
Mahindra,Mahindra XUV500 W8,2012,745000,117000,Diesel
Hyundai,Hyundai Verna 1.6,2016,825000,84000,Petrol
Maruti,Maruti Alto 800,2015,204000,45080,Petrol
Maruti,Maruti Eeco 5,2019,470000,39341,Petrol
Mahindra,Mahindra Scorpio 2.6,2007,330000,133000,Diesel
Mahindra,Mahindra e2o T2,2014,321000,54112,Electric
Hyundai,Hyundai i20 Sportz,2020,819999,14824,Petrol
Honda,Honda City i,2017,925000,82500,Petrol
Kia,Kia Seltos HTK,2020,1349000,17922,Petrol
BMW,BMW X7 xDrive,2019,123000,13000,Petrol
Mitsubishi,Mitsubishi Pajero Sport,2015,1675000,85000,Diesel
Hyundai,Hyundai Grand i10,2015,575000,67000,Petrol
Honda,Honda Jazz V,2018,745000,35000,Petrol
Maruti,Maruti Alto 800,2016,345000,53000,Petrol
MG,MG Hector Hybrid,2022,2075000,598,Petrol
Maruti,Maruti Ertiga ZDI,2019,892000,75727,Diesel
Kia,Kia Seltos GTX,2020,1889999,7000,Petrol
Maruti,Maruti Vitara Brezza,2016,858000,62403,Diesel
Volkswagen,Volkswagen Polo 1.5,2014,453000,44487,Diesel
Mercedes-Benz,Mercedes-Benz C-Class Progressive,2020,3900000,24000,Diesel
Toyota,Toyota Innova Crysta,2020,2850000,47000,Diesel
Hyundai,Hyundai i10 Magna,2008,190000,31212,Petrol
Skoda,Skoda Superb Laurin,2020,3365000,17776,Petrol
Hyundai,Hyundai Verna 1.6,2015,658000,31837,Diesel
Audi,Audi A3 35,2020,2580000,39000,Diesel
Maruti,Maruti Alto LXi,2006,120000,78000,Petrol
Ford,Ford Ecosport 1.5,2020,1185000,31000,Petrol
Maruti,Maruti Swift VDI,2013,388000,115986,Diesel
Toyota,Toyota Etios G,2014,392000,73029,Petrol
Hyundai,Hyundai Verna 1.6,2013,635000,25000,Petrol
Honda,Honda Amaze E,2013,244000,74809,Diesel
Hyundai,Hyundai i20 1.2,2011,272000,33560,Petrol
Hyundai,Hyundai i10 Sportz,2011,286000,40821,Petrol
Mercedes-Benz,Mercedes-Benz C-Class C,2014,1575000,58000,Diesel
Ford,Ford Figo Petrol,2010,163000,75991,Petrol
Maruti,Maruti Swift ZXI,2008,178000,136432,Petrol
Toyota,Toyota Innova Crysta,2016,1725000,83000,Diesel
Hyundai,Hyundai Santro Xing,2008,111000,51915,Petrol
Volkswagen,Volkswagen Polo GT,2014,550000,63100,Petrol
Mercedes-Benz,Mercedes-Benz GLE 250d,2017,4800000,54000,Diesel
BMW,BMW X1 sDrive20d,2021,4550000,9000,Diesel
Hyundai,Hyundai Santro Xing,2012,325000,46833,Petrol
Hyundai,Hyundai Verna 1.6,2012,525000,78744,Diesel
Maruti,Maruti Swift VDI,2014,490000,79542,Diesel
Honda,Honda City 1.5,2010,459999,96000,Petrol
Kia,Kia Sonet GTX,2021,1325000,13000,Petrol
Maruti,Maruti Swift VDI,2010,380000,44521,Diesel
Hyundai,Hyundai Grand i10,2017,547000,29927,Petrol
Honda,Honda CR-V 2.0L,2017,1975000,48019,Petrol
Hyundai,Hyundai Grand i10,2017,675000,27311,Petrol
Mahindra,Mahindra XUV500 W11,2021,2050000,14000,Diesel
Hyundai,Hyundai i10 Magna,2009,315000,64640,Petrol
Honda,Honda City i,2012,499000,96505,Petrol
Toyota,Toyota Fortuner 2.8,2018,3200000,90479,Diesel
Hyundai,Hyundai Venue S,2022,965000,3500,Petrol
Tata,Tata Nexon 1.2,2018,855000,42374,Petrol
Maruti,Maruti Baleno 1.3,2016,710000,45879,Diesel
Maruti,Maruti Ciaz VDi,2016,572000,120000,Diesel
Hyundai,Hyundai Grand i10,2015,470000,89680,Petrol
BMW,BMW 3 Series,2012,1275000,99000,Diesel
Maruti,Maruti Zen VXI,1998,110000,90000,Petrol
BMW,BMW X5 xDrive,2018,5975000,27000,Diesel
Skoda,Skoda Superb Elegance,2015,1465000,79776,Diesel
Toyota,Toyota Land Cruiser,2011,5400000,67000,Diesel
Skoda,Skoda Octavia 2.0,2017,1475000,108000,Diesel
Volkswagen,Volkswagen Vento 1.5,2019,944999,58000,Diesel
Skoda,Skoda Octavia 1.8,2018,2275000,32067,Petrol
Toyota,Toyota Innova Crysta,2017,1950000,52187,Diesel
BMW,BMW 5 Series,2019,5875000,17100,Diesel
MG,MG Hector Plus,2021,1939999,9562,Petrol
MG,MG Hector Sharp,2019,1810000,36388,Diesel
Mercedes-Benz,Mercedes-Benz C-Class C,2011,975000,45000,Diesel
Jeep,Jeep Compass 2.0,2019,1775000,36149,Diesel
Kia,Kia Seltos GTX,2020,1695000,20155,Petrol
MG,MG Hector Sharp,2019,1675000,51904,Petrol
Volkswagen,Volkswagen Polo GT,2015,725000,54000,Petrol
Kia,Kia Seltos GTX,2019,1565000,31727,Petrol
Mahindra,Mahindra XUV500 AT,2017,1445000,73986,Diesel
Kia,Kia Sonet 1.5,2021,1425000,7100,Diesel
Kia,Kia Sonet GTX,2021,1395000,5397,Petrol
BMW,BMW X3 xDrive,2018,4950000,65000,Diesel
Hyundai,Hyundai i20 1.4,2017,700000,90000,Diesel
Maruti,Maruti Swift Dzire,2013,475000,80000,Petrol
Volkswagen,Volkswagen Polo GT,2015,700000,91000,Petrol
BMW,BMW 7 Series,2010,2375000,69000,Diesel
Toyota,Toyota Fortuner 4x2,2014,1750000,89000,Diesel
Hyundai,Hyundai Santa Fe,2013,825000,95254,Diesel
Hyundai,Hyundai Creta 1.6,2016,1050000,51000,Petrol
Hyundai,Hyundai i10 Sportz,2014,395000,62000,Petrol
Tata,Tata Hexa XT,2017,1235000,120000,Diesel
Tata,Tata Harrier XZA,2022,2575000,2000,Diesel
Volkswagen,Volkswagen Polo Cup,2017,685000,46000,Petrol
Maruti,Maruti Ertiga SHVS,2017,944999,65000,Diesel
Maruti,Maruti Alto K10,2017,425000,22248,Petrol
BMW,BMW 5 Series,2018,4300000,40000,Diesel
Honda,Honda City i,2013,575000,73000,Petrol
Volkswagen,Volkswagen Polo GT,2021,1145000,54000,Petrol
Honda,Honda Civic 1.8,2006,260000,90000,Petrol
Jeep,Jeep Compass Model,2021,2725000,15000,Petrol
Kia,Kia Seltos GTX,2021,1820000,30000,Diesel
Jaguar,Jaguar XF 2.2,2016,2795000,26000,Diesel
Mahindra,Mahindra Scorpio SLX,2006,350000,155000,Diesel
Mercedes-Benz,Mercedes-Benz GLA Class,2019,3425000,29366,Petrol
Volkswagen,Volkswagen Polo 1.2,2016,675000,28211,Petrol
Kia,Kia Seltos GTX,2019,1675000,40000,Petrol
BMW,BMW 5 Series,2015,2450000,54000,Diesel
Mahindra,Mahindra XUV500 W8,2015,1025000,82000,Diesel
Hyundai,Hyundai Verna 1.6,2011,465000,117000,Petrol
Mahindra,Mahindra Scorpio S10,2015,1125000,111000,Diesel
Maruti,Maruti Swift Dzire,2018,795000,108000,Diesel
Maruti,Maruti Omni 8,2017,330000,4000,Petrol
Toyota,Toyota Innova 2.5,2011,685000,290000,Diesel
Ford,Ford Endeavour 3.2,2019,3590000,35000,Diesel
MG,MG Hector Sharp,2020,1795000,13000,Petrol
Ford,Ford Freestyle Titanium,2018,490000,60000,Petrol
Ford,Ford Ecosport 1.5,2018,975000,90000,Diesel
Mercedes-Benz,Mercedes-Benz GLA Class,2019,3375000,16975,Diesel
Hyundai,Hyundai Grand i10,2018,575000,11000,Petrol
Skoda,Skoda Rapid 1.5,2018,985000,59000,Diesel
Maruti,Maruti Wagon R,2008,225000,46000,LPG
Maruti,Maruti Alto LXi,2004,135000,80000,Petrol
Hyundai,Hyundai i20 Petrol,2019,750000,25000,Petrol
Hyundai,Hyundai i20 1.2,2018,725000,54801,Petrol
Honda,Honda Accord V6,2005,200000,75000,Petrol
Maruti,Maruti Vitara Brezza,2017,865000,130000,Diesel
Hyundai,Hyundai Accent Executive,2013,310000,71000,Petrol
Honda,Honda CR-V AT,2010,1000000,70000,Petrol
Hyundai,Hyundai Venue SX,2019,1044999,14115,Petrol
Honda,Honda Amaze VX,2019,750000,30000,Petrol
BMW,BMW X3 xDrive20d,2017,3995000,63170,Diesel
Toyota,Toyota Corolla Executive,2006,295000,80000,Petrol
Mercedes-Benz,Mercedes-Benz CLA 200,2018,3295000,47253,Diesel
Mahindra,Mahindra Xylo E4,2009,295000,56117,Diesel
Mercedes-Benz,Mercedes-Benz CLA 200,2018,3395000,14324,Diesel
Mercedes-Benz,Mercedes-Benz C-Class C,2018,3445000,27600,Petrol
Skoda,Skoda Octavia 1.8,2018,1948999,38391,Petrol
Audi,Audi A4 35,2018,3245000,49000,Diesel
Ford,Ford Ecosport 1.5,2017,775000,45000,Diesel
Chevrolet,Chevrolet Cruze LTZ,2014,695000,68000,Diesel
Maruti,Maruti Baleno 1.3,2018,825000,67000,Diesel
Hyundai,Hyundai i20 1.2,2018,775000,80000,Petrol
Volkswagen,Volkswagen Polo 1.2,2016,675000,62000,Petrol
Tata,Tata New Safari,2009,250000,50000,Diesel
Mahindra,Mahindra XUV500 W8,2012,695000,100000,Diesel
